                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46                                       47                                       48                                       49                                       50                                       51                                       52 
                            model_number                                num_zones                             initial_mass                                initial_z                                 star_age                                time_step                                     Teff                            photosphere_L                            photosphere_r                               center_eta                                center_h1                               center_he3                               center_he4                               center_c12                               center_n14                               center_o16                              center_ne20                                star_mass                                star_mdot                             star_mass_h1                            star_mass_he3                            star_mass_he4                            star_mass_c12                            star_mass_n14                            star_mass_o16                           star_mass_ne20                             he_core_mass                              c_core_mass                              o_core_mass                             si_core_mass                             fe_core_mass                   neutron_rich_core_mass                               tau10_mass                             tau10_radius                              tau100_mass                            tau100_radius                             dynamic_time                             kh_timescale                            nuc_timescale                           power_nuc_burn                             power_h_burn                            power_he_burn                                power_neu                                burn_min1                                burn_min2                             time_seconds                           version_number                                 compiler                                    build                         MESA_SDK_version                             math_backend                                     date 
                                  212190                                      690                  1.0000000000000000E+000                  2.0000000000000000E-002                  7.4744183401043236E+008                  3.0509744853991597E+003                  3.5121807495202609E+002                  3.1136808748428795E+007                  1.2544263849546091E+001                 -6.9687712375707296E+000                  6.9388199878397205E-001                  8.2583372085340342E-013                  3.0611799904246656E-001                  1.8636000142055440E-010                  1.9721172869273124E-009                  1.3056570480391038E-011                  1.2017700620824352E-012                  7.7334288695334499E+002                  1.1187920322158833E-002                  5.3660882832319703E+002                  9.6149234630922706E-009                  2.3673405692727158E+002                  6.5182344224479677E-008                  1.6182574354867211E-006                  8.8922454503476830E-009                  9.2937214297416717E-010                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.7334288678859593E+002                  1.2544202558952048E+001                  7.7334288503308005E+002                  1.2543554700972393E+001                  1.5989643426299699E+004                  3.6058347486557723E+004                  2.4836934741822857E+005                  4.3758953322135553E+007                  4.3738662688034169E+007                  3.8063988973850943E-001                  3.0351958810238880E+006                  5.0000000000000000E+001                  1.0000000000000000E+003                  2.3587470420967620E+016                                  "15140"                               "gfortran"                                  "9.2.0"                    "x86_64-linux-20.3.2"                                 "CRMATH"                               "20201227" 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14 
                                    zone                                     mass                                     logR                                     logT                                   logRho                                     logP                        x_mass_fraction_H                       y_mass_fraction_He                   z_mass_fraction_metals                                        q                                      eta                                       mu                                  eps_nuc                                log_D_mix 
                                       1                  7.7334288695334499E+002                  1.0984451801615378E+000                  5.9027309466091786E+000                 -5.0957194421903527E+000                  9.2755093191906326E+000                  6.9388268000642628E-001                  3.0611731780171653E-001                  2.1918571402324005E-009                  1.0000000000000000E+000                 -1.3652110865886472E+001                  6.2251229932467356E-001                  8.9081672870861275E-016                  1.6177680739280504E+001 
                                       2                  7.7334288695295834E+002                  1.0984451751779689E+000                  5.9027317702681268E+000                 -5.0957180504345336E+000                  9.2755121238445213E+000                  6.9388268000642361E-001                  3.0611731780171902E-001                  2.1918573622770054E-009                  9.9999999999949996E-001                 -1.3652110506546670E+001                  6.2251229932445262E-001                  8.9083897807134876E-016                  1.6177680739280504E+001 
                                       3                  7.7334288695247506E+002                  1.0984451689485308E+000                  5.9027331997070975E+000                 -5.0957156350796886E+000                  9.2755169912501980E+000                  6.9388268000641895E-001                  3.0611731780172380E-001                  2.1918572512547030E-009                  9.9999999999887501E-001                 -1.3652109882925501E+001                  6.2251229932406926E-001                  8.9087759255438884E-016                  1.6177681180893682E+001 
                                       4                  7.7334288695144846E+002                  1.0984451557180088E+000                  5.9027351681717253E+000                 -5.0957123088664362E+000                  9.2755236941289745E+000                  6.9388268000641407E-001                  3.0611731780172863E-001                  2.1918573622770054E-009                  9.9999999999754763E-001                 -1.3652109024017591E+001                  6.2251229932354113E-001                  8.9093077092079012E-016                  1.6177682648062234E+001 
                                       5                  7.7334288695039561E+002                  1.0984451421501158E+000                  5.9027371613886173E+000                 -5.0957089407919556E+000                  9.2755304813126820E+000                  6.9388268000640685E-001                  3.0611731780173596E-001                  2.1918571402324005E-009                  9.9999999999618627E-001                 -1.3652108154226344E+001                  6.2251229932300711E-001                  8.9098462120640211E-016                  1.6177684055799812E+001 
                                       6                  7.7334288694934298E+002                  1.0984451285823278E+000                  5.9027387535400999E+000                 -5.0957062503831274E+000                  9.2755359028341200E+000                  6.9388268000639020E-001                  3.0611731780175261E-001                  2.1918571402324005E-009                  9.9999999999482503E-001                 -1.3652107459353761E+001                  6.2251229932258589E-001                  8.9102763836925474E-016                  1.6177685648678782E+001 
                                       7                  7.7334288694871384E+002                  1.0984451204742871E+000                  5.9027398657395524E+000                 -5.0957043709907488E+000                  9.2755396900480687E+000                  6.9388268000636799E-001                  3.0611731780177465E-001                  2.1918573622770054E-009                  9.9999999999401146E-001                 -1.3652106973940757E+001                  6.2251229932229646E-001                  8.9105768927461691E-016                  1.6177686598610777E+001 
                                       8                  7.7334288694816803E+002                  1.0984451134405659E+000                  5.9027413657630472E+000                 -5.0957018362583195E+000                  9.2755447978638390E+000                  6.9388268000634323E-001                  3.0611731780179940E-001                  2.1918573622770054E-009                  9.9999999999330580E-001                 -1.3652106319273935E+001                  6.2251229932190377E-001                  8.9109822049233218E-016                  1.6177687147671449E+001 
                                       9                  7.7334288694712939E+002                  1.0984451000525099E+000                  5.9027444429765410E+000                 -5.0956966363878404E+000                  9.2755552762709108E+000                  6.9388268000632758E-001                  3.0611731780181506E-001                  2.1918573622770054E-009                  9.9999999999196254E-001                 -1.3652104976238821E+001                  6.2251229932108176E-001                  8.9118137365335011E-016                  1.6177688094017903E+001 
